City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,i-n-salah,27.1935,2.4607,37.18,8,0,6.03,DZ,1689885445
352,soe,-9.8607,124.284,16.67,93,57,1.67,ID,1689885445
353,kisiwani,-4.1333,37.95,19.37,77,0,1.29,TZ,1689885445
354,luchegorsk,46.4764,134.2569,19.7,92,53,1.65,RU,1689885445
355,bastrop,32.7562,-91.8724,36.5,52,0,0.0,US,1689884961
356,ilebo,-4.3167,20.5833,25.69,40,24,0.07,CD,1689885446
357,afaahiti,-17.75,-149.2833,24.93,64,21,8.09,PF,1689885446
358,arlington,32.7357,-97.1081,41.24,34,0,5.14,US,1689885304
359,vryburg,-26.9566,24.7284,12.68,52,97,5.79,ZA,1689885446
360,caleta de carquin,-11.0925,-77.6267,21.59,69,8,4.34,PE,1689884909
361,kapa'a,22.0752,-159.319,28.18,70,100,9.26,US,1689885446
